codigo;descripcion;tipo;unidad;familia;fecha_costo
MP-PIQUEDOBLE;PIQUE DOBLE;mp;u;PIQUE DOBLE;15-sep-2026
MP-PIQUEFANTASI;PIQUE FANTASIA;mp;u;PIQUE FANTASIA;15-sep-2026
MP-PIQUELYCRA;PIQUE LYCRA;mp;u;PIQUE LYCRA;15-sep-2026
MP-PLANA;PLANA;mp;u;PLANA;15-sep-2026
MP-PLANAIMPORTA;PLANA IMPORTACION;mp;u;PLANA IMPORTACION;15-sep-2026
MP-PUOSTEJIDOS;PUÑOS TEJIDOS;mp;u;PUÑOS TEJIDOS;15-sep-2026
MP-PUOSTEJIDOSC;PUÑOS TEJIDOS COMBINADOS;mp;u;PUÑOS TEJIDOS COMBINADOS;15-sep-2026
IN-QUICKSTRETCH;QUICK STRETCH;ins;u;QUICK STRETCH;15-sep-2026
IN-REATA;REATA;ins;u;REATA;15-sep-2026
IN-REMACHESMETA;REMACHES METALICO;ins;u;REMACHES METALICO;15-sep-2026
MP-RIBB241;RIBB 24/1;mp;u;RIBB 24/1;15-sep-2026
MP-RIBB2X2ARCOI;RIBB 2X2 ARCOIRIS;mp;u;RIBB 2X2 ARCOIRIS;15-sep-2026
MP-RIBB2X2GRUES;RIBB 2X2 GRUESO;mp;u;RIBB 2X2 GRUESO;15-sep-2026
MP-RIBB2X2LIVIA;RIBB 2X2 LIVIANO;mp;u;RIBB 2X2 LIVIANO;15-sep-2026
MP-RIBB6X6;RIBB 6X6;mp;u;RIBB 6X6;15-sep-2026
MP-RIBBALGODON;RIBB ALGODON;mp;u;RIBB ALGODON;15-sep-2026
MP-RIBBRAYADO;RIBB RAYADO;mp;u;RIBB RAYADO;15-sep-2026
IN-SATIN;SATIN;ins;u;SATIN;15-sep-2026
MP-SOFTWAFFLETE;SOFTWAFFLE TEJIDO;mp;u;SOFTWAFFLE TEJIDO;15-sep-2026
MP-TELAIMPORTAD;TELA IMPORTADA TINTURADA;mp;u;TELA IMPORTADA TINTURADA;15-sep-2026
SV-TINTURADOIND;TINTURADO INDUSTRIAL;srv;u;TINTURADO INDUSTRIAL;15-sep-2026
IN-FRAMILON;FRAMILON;ins;u;FRAMILON;15-sep-2026
